"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"L1P4",21,39.286595,-9.340555,"Marine",2013,2015,"Intertidal rockpools",0.0198522357343449,593.040531031198,164.821322725554,428.219208305644,0.444434860001781,44,1028.37886466725,4.19047619047619,0.679283946602923,0.558523624486815,0.582601363631393,309,7.02272727272727,0.159607438016529,0.100418016358443
"L2P1",19,39.286558,-9.339798,"Marine",2013,2015,"Intertidal rockpools",0.045814727039724,1289.4839347137,339.82948223174,949.654452481965,0.91259682228969,47,1063.55400338947,4.37037037037037,0.73709767254196,0.455834802541851,0.614746214116553,309,6.57446808510638,0.139882299683115,0.148231452320688
"L2P2",18,39.286575,-9.339799,"Marine",2013,2015,"Intertidal rockpools",0.0190874528698721,994.849489304109,102.641060777085,892.208428527023,0.021464448671065,58,1108.81070680426,4.19230769230769,0.746092660402589,0.623424344281227,0.648054967771086,443,7.63793103448276,0.131688466111772,0.150722183056474
"L2P3",18,39.286569,-9.339838,"Marine",2013,2015,"Intertidal rockpools",0.00818489118965271,487.71322254527,72.8786581872224,414.834564358047,0.0415343495189158,27,1083.66365283987,3.5418410041841,0.668570261437909,0.546329365079365,0.639405281111964,103,3.81481481481481,0.141289437585734,0.0927175688296452
"L2P4",20,39.286623,-9.33968,"Marine",2013,2015,"Intertidal rockpools",0.00997891415289581,732.803729707828,188.989388289358,543.81434141847,0.089350298584361,39,1038.96153304397,4.0625,0.742789831503518,0.580685768063911,0.644603321064594,252,6.46153846153846,0.165680473372781,0.157269502249524
"L3P1",19,39.241002,-9.343516,"Marine",2013,2015,"Intertidal rockpools",0.00431035272140556,1104.1347308629,303.236088251647,800.898642611257,0.579575090479931,33,1027.38217755294,3.39140271493213,0.617227182276577,0.445369158189592,0.546420048829889,209,6.33333333333333,0.191919191919192,0.1022826602611
"L3P2",21,39.240973,-9.343491,"Marine",2013,2015,"Intertidal rockpools",0.0385058423062825,907.22842636887,217.563480390473,689.664945978397,0.157102148473765,23,1016.0044304494,3.62035097740543,0.609885959491926,0.468527790063394,0.665251396517521,100,4.34782608695652,0.189035916824197,0.176785859339949
"L3P3",21,39.241035,-9.343438,"Marine",2013,2015,"Intertidal rockpools",0.0399286950975175,1875.18974533698,323.07045135083,1552.11929398616,0.0412241630647424,54,1059.46384862147,4.04166666666666,0.752679695092622,0.650216474465738,0.678382697798354,452,8.37037037037037,0.155006858710562,0.165023807795978
"L3P4",22,39.241023,-9.343384,"Marine",2013,2015,"Intertidal rockpools",0.0506613238726715,892.896928215063,182.253891567184,710.643036647879,0.0143402433114616,50,1033.3420013826,4.54545454545455,0.746041430059299,0.624408498462362,0.749458238114328,257,5.14,0.1028,0.128047710426183
"L4P1",19,39.241695,-9.343066,"Marine",2013,2015,"Intertidal rockpools",0.112865727148457,1436.85036688906,417.472186417106,1019.37818047196,0.0523144159941427,57,1063.68292867407,4.77083333333333,0.751585555905914,0.656168985560917,0.687660891645425,477,8.36842105263158,0.146814404432133,0.24553078795839
"L4P2",18,39.241695,-9.343151,"Marine",2013,2015,"Intertidal rockpools",0.0713785981664056,966.984929376912,200.594788645179,766.390140731733,0.0195410573744214,56,1048.19096075662,4,0.69957930172275,0.606198823921922,0.630448729756608,450,8.03571428571429,0.143494897959184,0.136411392395579
"L4P3",19,39.241812,-9.343242,"Marine",2013,2015,"Intertidal rockpools",0.0369930201636896,841.109883887957,214.066637806033,627.043246081924,0.0589305632780362,41,1025.63550107463,4,0.683768375071781,0.474691015345172,0.639310695765369,229,5.58536585365854,0.136228435455086,0.154379918773669
"L4P4",20,39.241808,-9.343138,"Marine",2013,2015,"Intertidal rockpools",0.0647231151944325,866.747576284725,268.962959238425,597.7846170463,0.033598921396011,43,1046.84785977928,4,0.731217832458564,0.634749841365392,0.706210180866703,282,6.55813953488372,0.152514872904273,0.238634085996547
"MBP1",24.8,50.357325,-4.127006,"Marine",2013,2015,"Intertidal rockpools",0.0103130785486101,507.655573994574,5.91537006113359,501.74020393344,0.000343191484855161,34,2545.2374140276,3.03530342480077,0.573845809019428,0.61723126238275,0.517369761815709,205,6.02941176470588,0.177335640138408,0.171479796381941
"MBP2",19,50.357154,-4.127097,"Marine",2013,2015,"Intertidal rockpools",0.000575399062991686,316.97585417113,0.695534944678564,316.280319226451,8.51237798754638e-06,19,2722.21048143233,3,0.510907516519761,0.554196594300761,0.593274483453055,83,4.36842105263158,0.229916897506925,0.227001371971094
"MBP3",18.6,50.358082,-4.12809,"Marine",2013,2015,"Intertidal rockpools",0.000775441364713211,306.714965549146,7.69813962469896,299.016825924447,0.000132217007426532,37,2537.25075277464,3,0.425862959971904,0.427317093292322,0.410858482029661,342,9.24324324324324,0.24981738495252,0.135992121509628
"MBP4",21.8,50.358041,-4.12802,"Marine",2013,2015,"Intertidal rockpools",0.00189197424745907,392.508455521435,4.58858171111507,387.91987381032,0.000200988175972441,27,2538.25208762631,3,0.40393291208807,0.54637755638897,0.476256637153696,153,5.66666666666667,0.209876543209877,0.156190325894358
"PC1P1",20,32.775718,-16.826017,"Marine",2013,2015,"Intertidal rockpools",0.00216848832369923,200.236850669965,14.5531488709411,185.683701799024,0.0026612605984975,22,513.384358144552,4.16666666666667,0.604876467839431,0.519070045600658,0.671658132117316,88,4,0.181818181818182,0.244032310962529
"PC1P2",20,32.775723,-16.826053,"Marine",2013,2015,"Intertidal rockpools",0.0252349332440227,163.671170456665,27.1299485110488,136.541221945616,0.187154378112284,21,510.489117023328,3.1865306122449,0.509090427620863,0.477216525476587,0.558592555491447,106,5.04761904761905,0.240362811791383,0.276539367103522
"PC1P3",21,32.775719,-16.825975,"Marine",2013,2015,"Intertidal rockpools",0.122805841880271,330.201654467601,60.3483235062033,269.853330961398,0.124423025799536,25,524.58069596012,3.75221953188055,0.618163804668995,0.53786075036075,0.651952694082324,111,4.44,0.1776,0.268159659016392
"PC1P4",21,32.775718,-16.825992,"Marine",2013,2015,"Intertidal rockpools",0.0643142889949446,162.767781260491,18.171330238573,144.596451021918,0.0244416679558219,17,508.247807017544,3,0.472896894771895,0.483670496170496,0.556587445476334,75,4.41176470588235,0.259515570934256,0.4070270665294
"PC2P1",21,32.775966,-16.825909,"Marine",2013,2015,"Intertidal rockpools",0.00479507205426931,135.362811418867,10.8581625664148,124.504648852453,0.120331794650049,19,510.297549019608,3.37719848053181,0.514751518322947,0.499535794067044,0.633835081585082,73,3.84210526315789,0.202216066481994,0.188315905943392
"PC2P2",22,32.775963,-16.825893,"Marine",2013,2015,"Intertidal rockpools",0.0023227606225726,1268.20006592623,64.4291358301808,1203.77093009605,0.166169701691188,31,523.743652486593,4,0.532594074764516,0.538657379189708,0.603022965207839,167,5.38709677419355,0.173777315296566,0.144534019764447
"PC2P3",22,32.776023,-16.825907,"Marine",2013,2015,"Intertidal rockpools",0.153624297151023,276.909904413329,51.2910879239004,225.618816489429,0.090627212298265,18,508.947128936955,3.5,0.581584821428571,0.560788690476191,0.607945900253593,54,3,0.166666666666667,0.283873062628115
"PC2P4",24,32.776016,-16.825883,"Marine",2013,2015,"Intertidal rockpools",0.0170547974914295,128.242233522994,6.38784046827781,121.854393054716,0.0250474770700387,17,507.325668896321,2.32361111111111,0.22191332972583,0.40110286538858,0.367039887410258,62,3.64705882352941,0.214532871972318,0.106440535282882
"PC2P5",26,32.77602,-16.82587,"Marine",2013,2015,"Intertidal rockpools",0.181723708969331,217.83467134932,33.5955006241599,184.23917072516,0.319983233447945,12,511.899584015275,3.12916666666667,0.548324514991182,0.637526944934352,0.637526944934352,26,2.16666666666667,0.180555555555556,0.205140046296296
"PGSBP1",28,-23.824578,-45.412609,"Marine",2013,2015,"Intertidal rockpools",0.204697540707869,401.081719271429,90.4769291786937,310.604790092736,1.12663216140854,17,756.853594771242,3.75,0.710913145623889,0.631093795093795,0.732402640094948,40,2.35294117647059,0.13840830449827,0.261517772351106
